date,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume
2017-01-01,992.95,,4421.50288283,8.18,,59519.78894094
2017-01-02,1011.45,,7723.63575162,8.38,,70490.23263029
2017-01-03,1020.67,,8615.26005814,9.59,,193090.5325617
2017-01-04,1130.3,,16222.23026666,11.17,,249702.49312189
2017-01-05,1007.0,,20446.40561546,10.23,,318195.64966402
2017-01-06,895.71,,14274.25920626,10.14,,139579.01357529
2017-01-07,909.0,,11217.17862761,9.92,,68202.88241145
2017-01-08,923.33,,5410.00349909,10.5,,62882.92455958
2017-01-09,902.66,,5909.57812167,10.39,,71537.68592965
2017-01-10,907.0,,7226.04044665,10.63,,55080.01658617
2017-01-11,795.77,,19443.63528428,9.95,,156690.86721608
2017-01-12,812.25,,13200.46287512,9.8,,79647.24561381
2017-01-13,831.42,,10492.67371002,9.84,,77394.58240566
2017-01-14,828.0,,4774.33377561,9.86,,37283.35356003
2017-01-15,833.31,,2941.91504862,9.9,,27754.14426025
2017-01-16,834.41,,3428.89193045,9.66,,63109.15135822
2017-01-17,906.0,,7253.4885706,10.34,,70391.9885457
2017-01-18,887.99,,6937.98652365,10.23,,62955.27909693
2017-01-19,902.92,,5070.18463001,10.42,,47611.24661444
2017-01-20,894.31,,3110.58974194,10.62,,59455.01891867
2017-01-21,925.06,,4666.66088887,10.93,,60044.83210136
2017-01-22,931.22,,5044.15354801,10.77,,49893.01076167
2017-01-23,910.7,,4142.93227389,10.8,,35338.62281061
2017-01-24,887.0,,6401.73515269,10.57,,55179.70253114
2017-01-25,896.0,,4535.10457614,10.55,,41045.88754223
2017-01-26,917.02,,4718.08253344,10.6,,43444.18171844
2017-01-27,922.63,,3719.06548579,10.55,,45845.48034511
2017-01-28,924.98,,2634.53799739,10.58,,26322.92714156
2017-01-29,916.54,,2592.34365375,10.49,,19237.12895493
2017-01-30,923.23,,3622.27666203,10.6,,42007.88104909
2017-01-31,970.01,,6733.34318664,10.7,,40509.60288467
2017-02-01,992.75,,5993.62596645,10.72,,58400.82763664
2017-02-02,1008.38,,5728.21238077,10.82,,48583.70326323
2017-02-03,1018.0,,6776.26971846,10.99,,49696.94671619
2017-02-04,1035.54,,4793.80522616,11.41,,89642.39949355
2017-02-05,1016.32,,4621.39169086,11.26,,39382.95306944
2017-02-06,1022.58,,4367.25829503,11.34,,47907.3447215
2017-02-07,1053.96,,5492.40880901,11.51,,57274.01020311
2017-02-08,1056.7,,6979.97233106,11.41,,88158.86526488
2017-02-09,994.24,,16569.65090403,11.02,,118356.17173816
2017-02-10,1001.99,,7943.72633682,11.43,,69285.63535576
2017-02-11,1018.65,,4321.97059564,11.52,,35280.52010547
2017-02-12,1010.0,,1315.7295579,11.5,,23350.56327133
2017-02-13,1002.82,,4721.75058283,11.43,,50130.29677266
2017-02-14,1013.92,,5910.49032795,13.14,,260872.34248683
2017-02-15,1014.53,,4494.35016842,12.98,,117752.61105449
2017-02-16,1038.94,,5996.29323251,12.89,,89348.20727242
2017-02-17,1057.3,,6334.69845378,12.75,,90714.24317995
2017-02-18,1062.15,,3934.74788542,12.89,,45730.92082413
2017-02-19,1059.88,,3025.41424506,12.9,,34815.25412059
2017-02-20,1089.82,,4434.4419852,12.61,,70683.04381469
2017-02-21,1128.29,,7487.52401771,12.83,,99099.33659705
2017-02-22,1128.71,,6035.82346759,12.75,,83638.11582907
2017-02-23,1186.9,,7574.4599592,13.21,,101645.2415701
2017-02-24,1186.91,,12746.94744846,13.2,,141593.77689977
2017-02-25,1158.0,,6033.90242829,13.65,,96882.62283402
2017-02-26,1184.91,,4454.44399496,14.74,,100654.43777812
2017-02-27,1195.81,,5776.45621667,15.66,,228006.55645929
2017-02-28,1195.08,,6720.38236942,16.4,,345271.59116257
2017-03-01,1230.0,,8122.93568298,17.37,,251745.10779028
2017-03-02,1269.17,,8940.28335112,19.27,,353524.92611792
2017-03-03,1292.86,,8290.63821009,19.68,,418297.89550869
2017-03-04,1273.97,,6385.03090633,18.65,,150803.54752055
2017-03-05,1278.98,,3996.81717973,19.4,,128246.54175649
2017-03-06,1284.99,,4763.57331155,19.68,,141853.14193665
2017-03-07,1237.36,,10811.13480336,18.96,,156651.35264277
2017-03-08,1150.22,,13024.97292998,16.68,,280505.20713503
2017-03-09,1197.3,,8524.46513332,17.82,,182292.81461265
2017-03-10,1109.01,,25699.70747898,19.2,,309439.25716125
2017-03-11,1188.11,,10281.23814954,21.64,,228815.88246844
2017-03-12,1235.58,,6729.15133551,23.39,,263673.05636486
2017-03-13,1245.49,,9584.41601345,28.64,,625354.24051185
2017-03-14,1247.42,,7464.25969536,28.69,,226096.64753758
2017-03-15,1263.0,,7273.3089643,35.65,,408524.96947696
2017-03-16,1175.11,,16599.28971021,45.96,,732580.28886923
2017-03-17,1069.57,,19222.89558418,44.62,,719985.84989644
2017-03-18,970.0,,23968.77126486,33.64,,569966.50109942
2017-03-19,1019.49,,13518.38951375,43.21,,459232.39385515
2017-03-20,1044.96,,8919.41542151,42.31,,229608.94221823
2017-03-21,1114.42,,12493.158303386517,42.36,,153385.24652058
2017-03-22,1034.57,,14577.910023502238,41.37,,215331.31154119
2017-03-23,1025.14,,7782.58744987,42.99,,176283.58226551
2017-03-24,934.87,,19003.40525575,52.93,,412077.11150094
2017-03-25,963.72,,16665.09971431,50.5,,322875.49976772
2017-03-26,973.08,,9504.75859053,50.73,,139381.60730493
2017-03-27,1042.08,,10235.89059265,48.97,,167954.10960827
2017-03-28,1045.4,,9055.35196409,50.3,,148961.43460651
2017-03-29,1043.27,,8676.30276913,53.1,,242696.94276526
2017-03-30,1042.34,,8312.81365608,51.88,,133949.75343624
2017-03-31,1088.99,,11274.0990776,50.18,,248184.61398357
2017-04-01,1092.0,,6726.97042802,50.71,,90500.31838149
2017-04-02,1113.99,,7882.35425504,48.74,,150244.53593327
2017-04-03,1152.6,,12694.07860904,44.25,,324319.06028293
2017-04-04,1143.99,,8960.55337266,44.47,,218472.02147232
2017-04-05,1132.99,,8705.92018413,44.78,,153161.83660282
2017-04-06,1192.3,,11233.49672084,43.3,,172306.59173301
2017-04-07,1194.0,,6984.36797928,42.32,,106456.14070104
2017-04-08,1184.5,,4423.10758142,44.45,,78801.726831
2017-04-09,1210.97,,5819.87128162,43.92,,56534.48029788
2017-04-10,1210.0,,5644.96147616,43.92,,68377.98513004
2017-04-11,1223.99,,5481.08329834,43.83,,55284.12760715
2017-04-12,1214.17,,6494.15156162,46.48,,124468.48627904
2017-04-13,1177.05,,9426.5374569,49.77,,175187.47016084
2017-04-14,1173.74,,5666.3149436,47.2,,85109.7751633
2017-04-15,1178.85,,3972.00314582,48.94,,43693.04585819
2017-04-16,1177.99,,3084.52503854,48.13,,42384.56530848
