date,fed_policy_article_count,fed_policy_negative_hits,fed_policy_positive_hits,fed_policy_risk_score,inflation_article_count,inflation_negative_hits,inflation_positive_hits,inflation_risk_score,recession_article_count,recession_negative_hits,recession_positive_hits,recession_risk_score,fiscal_policy_article_count,fiscal_policy_negative_hits,fiscal_policy_positive_hits,fiscal_policy_risk_score,crypto_regulation_article_count,crypto_regulation_negative_hits,crypto_regulation_positive_hits,crypto_regulation_risk_score,exchange_risk_article_count,exchange_risk_negative_hits,exchange_risk_positive_hits,exchange_risk_risk_score,stablecoin_risk_article_count,stablecoin_risk_negative_hits,stablecoin_risk_positive_hits,stablecoin_risk_risk_score,etf_institutional_article_count,etf_institutional_negative_hits,etf_institutional_positive_hits,etf_institutional_risk_score,geopolitical_article_count,geopolitical_negative_hits,geopolitical_positive_hits,geopolitical_risk_score,market_sentiment_article_count,market_sentiment_negative_hits,market_sentiment_positive_hits,market_sentiment_risk_score
2026-05-02,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-03,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-04,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-05,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-06,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-07,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-08,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-09,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-10,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-11,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-12,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-13,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-14,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-15,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-16,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-17,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-18,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-19,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-20,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-21,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-22,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-23,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-24,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-25,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-26,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-27,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-28,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-29,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-30,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
2026-05-31,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0,0,0,0,50.0
